,Filename,Height,Width,class
0,Cancer (2345).jpg,300,299,cancer
1,Cancer (2346).jpg,237,236,cancer
2,Cancer (2347).jpg,251,251,cancer
3,Cancer (2348).jpg,248,249,cancer
4,Cancer (2349).jpg,300,299,cancer
5,Cancer (235).jpg,300,300,cancer
6,Cancer (2350).jpg,245,244,cancer
7,Cancer (2351).jpg,240,240,cancer
8,Cancer (2352).jpg,225,225,cancer
9,Cancer (2353).jpg,225,225,cancer
10,Cancer (2354).jpg,224,224,cancer
11,Cancer (2355).jpg,225,225,cancer
12,Cancer (2356).jpg,300,299,cancer
13,Cancer (2357).jpg,300,300,cancer
14,Cancer (2358).jpg,300,300,cancer
15,Cancer (2359).jpg,283,283,cancer
16,Cancer (236).jpg,300,300,cancer
17,Cancer (2360).jpg,300,299,cancer
18,Cancer (2361).jpg,300,299,cancer
19,Cancer (2362).jpg,300,300,cancer
20,Cancer (2363).jpg,300,300,cancer
21,Cancer (2364).jpg,300,299,cancer
22,Cancer (2365).jpg,300,300,cancer
23,Cancer (2366).jpg,300,299,cancer
24,Cancer (2367).jpg,300,299,cancer
25,Cancer (2368).jpg,300,299,cancer
26,Cancer (2369).jpg,300,300,cancer
27,Cancer (237).jpg,300,300,cancer
28,Cancer (2370).jpg,300,299,cancer
29,Cancer (2371).jpg,300,299,cancer
30,Cancer (2372).jpg,300,300,cancer
31,Cancer (2373).jpg,300,300,cancer
32,Cancer (2374).jpg,300,299,cancer
33,Cancer (2375).jpg,291,291,cancer
34,Cancer (2376).jpg,300,299,cancer
35,Cancer (2377).jpg,300,300,cancer
36,Cancer (2378).jpg,300,299,cancer
37,Cancer (2379).jpg,300,300,cancer
38,Cancer (238).jpg,300,300,cancer
39,Cancer (2380).jpg,300,299,cancer
40,Cancer (2381).jpg,300,299,cancer
41,Cancer (2382).jpg,300,300,cancer
42,Cancer (2383).jpg,300,299,cancer
43,Cancer (2384).jpg,300,300,cancer
44,Cancer (2385).jpg,300,299,cancer
45,Cancer (2386).jpg,300,300,cancer
46,Cancer (2387).jpg,189,189,cancer
47,Cancer (2388).jpg,300,299,cancer
48,Cancer (2389).jpg,300,299,cancer
49,Cancer (239).jpg,300,300,cancer
50,Cancer (2390).jpg,244,244,cancer
51,Cancer (2391).jpg,300,299,cancer
52,Cancer (2392).jpg,300,300,cancer
53,Cancer (2393).jpg,300,299,cancer
54,Cancer (2394).jpg,300,300,cancer
55,Cancer (2395).jpg,256,256,cancer
56,Cancer (2396).jpg,300,299,cancer
57,Cancer (2397).jpg,300,299,cancer
58,Cancer (2398).jpg,212,211,cancer
59,Cancer (2399).jpg,300,300,cancer
60,Cancer (24).jpg,300,300,cancer
61,Cancer (24).tif,256,256,cancer
62,Cancer (240).jpg,300,300,cancer
63,Cancer (2400).jpg,247,246,cancer
64,Cancer (2401).jpg,300,300,cancer
65,Cancer (2402).jpg,277,276,cancer
66,Cancer (2403).jpg,300,300,cancer
67,Cancer (2404).jpg,300,300,cancer
68,Cancer (2405).jpg,300,299,cancer
69,Cancer (2406).jpg,300,299,cancer
70,Cancer (2407).jpg,300,300,cancer
71,Cancer (2408).jpg,300,300,cancer
72,Cancer (2409).jpg,237,237,cancer
73,Cancer (241).jpg,300,300,cancer
74,Cancer (2410).jpg,300,300,cancer
75,Cancer (2411).jpg,300,300,cancer
76,Cancer (2412).jpg,300,299,cancer
77,Cancer (2413).jpg,300,300,cancer
78,Cancer (2414).jpg,236,235,cancer
79,Cancer (2415).jpg,234,233,cancer
80,Cancer (2416).jpg,300,299,cancer
81,Cancer (2417).jpg,246,245,cancer
82,Cancer (2418).jpg,256,255,cancer
83,Cancer (2419).jpg,300,299,cancer
84,Cancer (242).jpg,300,300,cancer
85,Cancer (2420).jpg,251,251,cancer
86,Cancer (2421).jpg,295,295,cancer
87,Cancer (2422).jpg,300,299,cancer
88,Cancer (2423).jpg,300,300,cancer
89,Cancer (2424).jpg,300,299,cancer
90,Cancer (2425).jpg,300,299,cancer
91,Cancer (2426).jpg,300,299,cancer
92,Cancer (243).jpg,300,300,cancer
93,Cancer (244).jpg,300,300,cancer
94,Cancer (245).jpg,300,300,cancer
95,Cancer (246).jpg,300,300,cancer
96,Cancer (247).jpg,300,300,cancer
97,Cancer (248).jpg,300,300,cancer
98,Cancer (249).jpg,300,300,cancer
99,Cancer (25).jpg,300,300,cancer
100,Cancer (25).tif,256,256,cancer
101,Cancer (250).jpg,300,300,cancer
102,Cancer (251).jpg,300,300,cancer
103,Cancer (252).jpg,300,300,cancer
104,Cancer (253).jpg,300,300,cancer
105,Cancer (254).jpg,300,300,cancer
106,Cancer (255).jpg,300,300,cancer
107,Cancer (256).jpg,300,300,cancer
108,Cancer (257).jpg,300,300,cancer
109,Cancer (258).jpg,300,300,cancer
110,Cancer (259).jpg,300,300,cancer
111,Cancer (26).jpg,300,300,cancer
112,Cancer (26).tif,256,256,cancer
113,Cancer (260).jpg,300,300,cancer
114,Cancer (261).jpg,300,300,cancer
115,Cancer (262).jpg,300,300,cancer
116,Cancer (263).jpg,300,300,cancer
117,Cancer (264).jpg,300,300,cancer
118,Cancer (265).jpg,300,300,cancer
119,Cancer (266).jpg,300,300,cancer
120,Cancer (267).jpg,300,300,cancer
121,Cancer (268).jpg,300,300,cancer
122,Cancer (269).jpg,300,300,cancer
123,Cancer (27).jpg,300,300,cancer
124,Cancer (27).tif,256,256,cancer
125,Cancer (270).jpg,300,300,cancer
126,Cancer (271).jpg,300,300,cancer
127,Cancer (272).jpg,300,300,cancer
128,Cancer (273).jpg,300,300,cancer
129,Cancer (274).jpg,300,300,cancer
130,Cancer (275).jpg,300,300,cancer
131,Cancer (276).jpg,300,300,cancer
132,Cancer (277).jpg,300,300,cancer
133,Cancer (278).jpg,300,300,cancer
134,Cancer (279).jpg,300,300,cancer
135,Cancer (28).jpg,300,300,cancer
136,Cancer (28).tif,256,256,cancer
137,Cancer (280).jpg,300,300,cancer
138,Cancer (281).jpg,300,300,cancer
139,Cancer (282).jpg,300,300,cancer
140,Cancer (283).jpg,300,300,cancer
141,Cancer (284).jpg,300,300,cancer
142,Cancer (285).jpg,300,300,cancer
143,Cancer (286).jpg,300,300,cancer
144,Cancer (287).jpg,300,300,cancer
145,Cancer (288).jpg,300,300,cancer
146,Cancer (289).jpg,300,300,cancer
147,Cancer (29).jpg,300,300,cancer
148,Cancer (29).tif,256,256,cancer
149,Cancer (290).jpg,300,300,cancer
150,Cancer (291).jpg,300,300,cancer
151,Cancer (292).jpg,300,300,cancer
152,Cancer (293).jpg,300,300,cancer
153,Cancer (294).jpg,300,300,cancer
154,Cancer (295).jpg,300,300,cancer
155,Cancer (296).jpg,300,300,cancer
156,Cancer (297).jpg,300,300,cancer
157,Cancer (298).jpg,300,300,cancer
158,Cancer (299).jpg,300,300,cancer
159,Cancer (3).jpg,300,300,cancer
160,Cancer (3).tif,256,256,cancer
161,Cancer (30).jpg,300,300,cancer
162,Cancer (30).tif,256,256,cancer
163,Cancer (300).jpg,300,300,cancer
164,Cancer (301).jpg,300,300,cancer
165,Cancer (302).jpg,300,300,cancer
166,Cancer (303).jpg,300,300,cancer
167,Cancer (304).jpg,300,300,cancer
168,Cancer (305).jpg,300,300,cancer
169,Cancer (306).jpg,300,300,cancer
170,Cancer (307).jpg,300,300,cancer
171,Cancer (308).jpg,300,300,cancer
172,Cancer (309).jpg,300,300,cancer
173,Cancer (31).jpg,300,300,cancer
174,Cancer (31).tif,256,256,cancer
175,Cancer (310).jpg,300,300,cancer
176,Cancer (311).jpg,300,300,cancer
177,Cancer (312).jpg,300,300,cancer
178,Cancer (313).jpg,300,300,cancer
179,Cancer (314).jpg,300,300,cancer
180,Cancer (315).jpg,300,300,cancer
181,Cancer (316).jpg,300,300,cancer
182,Cancer (317).jpg,300,300,cancer
183,Cancer (318).jpg,300,300,cancer
184,Cancer (319).jpg,300,300,cancer
185,Cancer (32).jpg,300,300,cancer
186,Cancer (32).tif,256,256,cancer
187,Cancer (320).jpg,300,300,cancer
188,Cancer (321).jpg,300,300,cancer
189,Cancer (322).jpg,300,300,cancer
190,Cancer (323).jpg,300,300,cancer
191,Cancer (324).jpg,300,300,cancer
192,Cancer (325).jpg,300,300,cancer
193,Cancer (326).jpg,300,300,cancer
194,Cancer (327).jpg,300,300,cancer
195,Cancer (328).jpg,300,300,cancer
196,Cancer (329).jpg,300,300,cancer
197,Cancer (33).jpg,300,300,cancer
198,Cancer (33).tif,256,256,cancer
199,Cancer (330).jpg,300,300,cancer
200,Cancer (331).jpg,300,300,cancer
201,Cancer (332).jpg,300,300,cancer
202,Cancer (333).jpg,300,300,cancer
203,Cancer (334).jpg,300,300,cancer
204,Cancer (335).jpg,300,300,cancer
205,Cancer (336).jpg,300,300,cancer
206,Cancer (337).jpg,300,300,cancer
207,Cancer (338).jpg,300,300,cancer
208,Cancer (339).jpg,300,300,cancer
209,Cancer (34).jpg,300,300,cancer
210,Cancer (34).tif,256,256,cancer
211,Cancer (340).jpg,300,300,cancer
212,Cancer (341).jpg,300,300,cancer
213,Cancer (342).jpg,300,300,cancer
214,Cancer (343).jpg,300,300,cancer
215,Cancer (344).jpg,300,300,cancer
216,Cancer (345).jpg,300,300,cancer
217,Cancer (346).jpg,300,300,cancer
218,Cancer (347).jpg,300,300,cancer
219,Cancer (348).jpg,300,300,cancer
220,Cancer (349).jpg,300,300,cancer
221,Cancer (35).jpg,300,300,cancer
222,Cancer (35).tif,256,256,cancer
223,Cancer (350).jpg,300,300,cancer
224,Cancer (351).jpg,300,300,cancer
225,Cancer (352).jpg,300,300,cancer
226,Cancer (353).jpg,300,300,cancer
227,Cancer (354).jpg,300,300,cancer
228,Cancer (355).jpg,300,300,cancer
229,Cancer (356).jpg,300,300,cancer
230,Cancer (357).jpg,300,300,cancer
231,Cancer (358).jpg,300,300,cancer
232,Cancer (359).jpg,300,300,cancer
233,Cancer (36).jpg,300,300,cancer
234,Cancer (36).tif,256,256,cancer
235,Cancer (360).jpg,300,300,cancer
236,Cancer (361).jpg,300,300,cancer
237,Cancer (362).jpg,300,300,cancer
238,Cancer (363).jpg,300,300,cancer
239,Cancer (364).jpg,300,300,cancer
240,Cancer (365).jpg,300,300,cancer
241,Cancer (366).jpg,300,300,cancer
242,Cancer (367).jpg,300,300,cancer
243,Cancer (368).jpg,300,300,cancer
244,Cancer (369).jpg,300,300,cancer
245,Cancer (37).jpg,300,300,cancer
246,Cancer (37).tif,256,256,cancer
247,Cancer (370).jpg,300,300,cancer
